date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-15,moderna,fully_vaccinated,1,21,362757,0.28,NA,0.71,0.2,16.67,14.69,31.43,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-16,moderna,fully_vaccinated,1,22,368526,0.27,NA,0.71,0.19,20,14.86,26.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-17,moderna,fully_vaccinated,1,23,370551,0.27,NA,0.71,0.19,33.33,15.23,26.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-18,moderna,fully_vaccinated,0,23,370575,0,NA,0.57,0.15,0,15.13,12.04,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-19,moderna,fully_vaccinated,1,24,375375,0.27,NA,0.43,0.11,14.29,15.09,9.66,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-20,moderna,fully_vaccinated,0,24,384476,0,NA,0.43,0.11,0,14.91,10.37,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-21,moderna,fully_vaccinated,0,24,395385,0,NA,0.43,0.11,0,14.81,19.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-22,moderna,fully_vaccinated,0,24,410835,0,NA,0.43,0.1,0,14.63,19.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-23,moderna,fully_vaccinated,1,25,423317,0.24,NA,0.43,0.1,25,14.88,20.71,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-24,moderna,fully_vaccinated,1,26,427981,0.23,NA,0.57,0.13,100,15.38,25.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-25,moderna,fully_vaccinated,0,26,428638,0,NA,0.57,0.13,0,15.03,25.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-26,moderna,fully_vaccinated,1,27,442365,0.23,NA,0.71,0.16,20,15.17,29.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-27,moderna,fully_vaccinated,1,28,460321,0.22,NA,0.71,0.15,33.33,15.47,30.24,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-28,moderna,fully_vaccinated,0,28,475239,0,NA,0.57,0.12,0,14.97,15.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-29,moderna,fully_vaccinated,1,29,490504,0.2,NA,0.57,0.12,25,15.18,15.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-30,moderna,fully_vaccinated,1,30,498802,0.2,NA,0.43,0.09,33.33,15.46,13.09,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-01,moderna,fully_vaccinated,0,30,500124,0,NA,0.29,0.06,0,15.23,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-02,moderna,fully_vaccinated,0,30,500518,0,NA,0.57,0.11,0,15.08,15.48,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-03,moderna,fully_vaccinated,0,30,505590,0,NA,0.43,0.09,0,14.71,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-04,moderna,fully_vaccinated,0,30,517599,0,NA,0.29,0.06,0,14.49,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-05,moderna,fully_vaccinated,2,32,531973,0.38,NA,0.29,0.05,50,15.17,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-06,moderna,fully_vaccinated,0,32,550387,0,NA,0.29,0.05,0,14.88,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-07,moderna,fully_vaccinated,0,32,568658,0,NA,0.29,0.05,0,14.81,7.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-08,moderna,fully_vaccinated,0,32,575399,0,NA,0.43,0.07,0,14.68,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-09,moderna,fully_vaccinated,0,32,577431,0,NA,0.14,0.02,0,14.41,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-10,moderna,fully_vaccinated,0,32,592788,0,NA,0.29,0.05,0,14.35,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-11,moderna,fully_vaccinated,1,33,612534,0.16,NA,0.29,0.05,33.33,14.6,11.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-12,moderna,fully_vaccinated,0,33,633367,0,NA,0.29,0.05,0,14.41,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-13,moderna,fully_vaccinated,1,34,640178,0.16,NA,0.43,0.07,50,14.72,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
