date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202113,male,partially_vaccinated,9,42,180288,4.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,not_vaccinated,142,778,3876467,3.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,unknown,157,1225,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,fully_vaccinated,0,0,75,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,partially_vaccinated,0,0,87,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,fully_vaccinated,6,29,398368,1.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,partially_vaccinated,8,37,235779,3.39,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,not_vaccinated,90,697,3753241,2.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,female,unknown,107,1159,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,fully_vaccinated,9,42,304065,2.96,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,partially_vaccinated,7,49,199256,3.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,not_vaccinated,124,902,3818646,3.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,male,unknown,160,1385,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,fully_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
