date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-10,moderna,fully_vaccinated,1,5,1282249,0.08,NA,0.14,0.01,100,4.85,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-11,moderna,fully_vaccinated,0,5,1318403,0,NA,0.14,0.01,0,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-12,moderna,fully_vaccinated,0,5,1339165,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-13,moderna,fully_vaccinated,0,5,1349324,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-14,moderna,fully_vaccinated,0,5,1383501,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-15,moderna,fully_vaccinated,0,5,1424934,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-16,moderna,fully_vaccinated,0,5,1469916,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-17,moderna,fully_vaccinated,0,5,1517445,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-18,moderna,fully_vaccinated,0,5,1563346,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-19,moderna,fully_vaccinated,0,5,1585379,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-20,moderna,fully_vaccinated,0,5,1594254,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-21,moderna,fully_vaccinated,0,5,1630868,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-22,moderna,fully_vaccinated,0,5,1675567,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-23,moderna,fully_vaccinated,0,5,1721545,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-24,moderna,fully_vaccinated,0,5,1769068,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-25,moderna,fully_vaccinated,1,6,1813549,0.06,NA,0.14,0.01,100,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-26,moderna,fully_vaccinated,0,6,1836521,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-27,moderna,fully_vaccinated,0,6,1846379,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-28,moderna,fully_vaccinated,0,6,1889313,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-06-29,moderna,fully_vaccinated,0,6,1937134,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-06-30,moderna,fully_vaccinated,0,6,1991514,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-01,moderna,fully_vaccinated,0,6,2039898,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-02,moderna,fully_vaccinated,0,6,2090759,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-03,moderna,fully_vaccinated,0,6,2124722,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-04,moderna,fully_vaccinated,0,6,2134954,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-05,moderna,fully_vaccinated,0,6,2184089,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-06,moderna,fully_vaccinated,0,6,2233011,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-07,moderna,fully_vaccinated,0,6,2281639,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-08,moderna,fully_vaccinated,0,6,2332872,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-09,moderna,fully_vaccinated,0,6,2380829,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-10,moderna,fully_vaccinated,0,6,2409997,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-11,moderna,fully_vaccinated,0,6,2418729,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-12,moderna,fully_vaccinated,0,6,2466009,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-13,moderna,fully_vaccinated,0,6,2513156,0,NA,0,0,0,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-14,moderna,fully_vaccinated,0,6,2554313,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-15,moderna,fully_vaccinated,0,6,2596784,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-16,moderna,fully_vaccinated,0,6,2637503,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-17,moderna,fully_vaccinated,0,6,2659386,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
2021-07-18,moderna,fully_vaccinated,0,6,2665232,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-11-25_07-51-54
