date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,female,fully_vaccinated,2,5,229283,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,female,partially_vaccinated,1,27,174393,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,female,not_vaccinated,14,119,3983712,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,female,unknown,13,205,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,male,fully_vaccinated,1,2,175063,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,male,partially_vaccinated,2,21,132885,1.51,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,male,not_vaccinated,24,159,4014019,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,male,unknown,18,214,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,fully_vaccinated,0,0,45,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
